"Species_code","Scientific_name","Pref_com_name","Other_com_name","Pref_com_is","Sort_order","TSN","Accepted_TSN","Category","Family","Taxon_type","Taxon_is_active","Refers_to_code","Project_taxon_notes","Taxon_notes","<>","LEWI","MORA","NOCA","OLYM","SAJH"
"UTHW","Unidentified Townsends/Hermit Warbler","Unidentified Townsend's/Hermit Warbler","unidentified Townsend's/Hermit Warbler","Same",2126,,,"Bird","Parulidae","Grouped",1,,,,,,1,,1,
"VASW","Chaetura vauxi","Vaux’s Swift","Vaux’s Swift","Same",290,178002,,"Bird","Apodidae","Specific",1,,,,,1,1,1,1,1
"VATH","Ixoreus naevius","Varied Thrush","Varied Thrush","Same",1687,179773,,"Bird","Turdidae","Specific",1,,,,,1,1,1,1,1
"VEER","Catharus fuscescens","Veery","Veery","Same",1656,179796,,"Bird","Muscicapidae","Specific",1,,,,,1,1,1,1,1
"VESP","Pooecetes gramineus","Vesper Sparrow","Vesper Sparrow","Same",1934,179366,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"VGSW","Tachycineta thalassina","Violet-green Swallow","Violet-green Swallow","Same",1480,178427,,"Bird","Hirundinidae","Specific",1,,,,,1,1,1,1,1
"VIRA","Rallus limicola","Virginia Rail","Virginia Rail","Same",445,176221,,"Bird","Rallidae","Specific",1,,,,,1,1,1,1,1
"WATA","Tringa incana","Wandering Tattler","Wandering Tattler","Same",559,176630,,"Bird","Scolopacidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 176635), taxon definition consistent",,,,,,1,
"WAVI","Vireo gilvus","Warbling Vireo","Warbling Vireo","Same",1421,179023,,"Bird","Vireonidae","Specific",1,,,,,1,1,1,1,1
"WBNU","Sitta carolinensis","White-breasted Nuthatch","White-breasted Nuthatch","Same",1517,178775,,"Bird","Sittidae","Specific",1,,,,,1,1,1,1,1
"WCSP","Zonotrichia leucophrys","White-crowned Sparrow","White-crowned Sparrow","Same",1920,179455,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"WEBL","Sialia mexicana","Western Bluebird","Western Bluebird","Same",1633,179806,,"Bird","Muscicapidae","Specific",1,,,,,1,1,1,1,1
"WEGR","Aechmophorus occidentalis","Western Grebe","Western Grebe","Same",173,174503,,"Bird","Podicipedidae","Specific",1,,,,,1,1,1,1,1
"WEGU","Larus occidentalis","Western Gull","Western Gull","Same",619,176817,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"WEKI","Tyrannus verticalis","Western Kingbird","Western Kingbird","Same",1332,178287,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"WEME","Sturnella neglecta","Western Meadowlark","Western Meadowlark","Same",1993,179039,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"WESA","Calidris mauri","Western Sandpiper","Western Sandpiper","Same",542,176668,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"WESO","Megascops kennicottii","Western Screech-Owl","Western Screech-Owl","Same",878,686659,686659,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"WETA","Piranga ludoviciana","Western Tanager","Western Tanager","Same",2151,179882,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"WEWP","Contopus sordidulus","Western Wood-Pewee","Western Wood-Pewee","Same",1350,178360,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"WHIM","Numenius phaeopus","Whimbrel","Whimbrel","Same",506,176599,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"WHWO","Picoides albolarvatus","White-headed Woodpecker","White-headed Woodpecker","Same",1017,178256,178256,"Bird","Picidae","Specific",1,,,,,,,1,,
"WIFL","Empidonax traillii","Willow Flycatcher","Willow Flycatcher","Same",1361,178341,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"WILL","Tringa semipalmata","Willet","Willet","Same",561,824147,,"Bird","Scolopacidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 176638), taxon definition consistent",,,1,1,1,1,1
"WISA","Sphyrapicus thyroideus","Williamson’s Sapsucker","Williamson’s Sapsucker","Same",1002,178208,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"WITU","Meleagris gallopavo","Wild Turkey","Wild Turkey","Same",164,176136,,"Bird","Phasianidae","Specific",1,,,,,1,1,1,1,1
"WIWA","Cardellina pusilla","Wilson’s Warbler","Wilson’s Warbler","Same",2138,950080,,"Bird","Fringillidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 178973), taxon definition consistent",,,1,1,1,1,1
"WODU","Aix sponsa","Wood Duck","Wood Duck","Same",54,175122,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"WTKI","Elanus leucurus","White-tailed Kite","White-tailed Kite","Same",815,175282,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"WTPT","Lagopus leucura","White-tailed Ptarmigan","White-tailed Ptarmigan","Same",158,677541,,"Bird","Phasianidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 175827), taxon definition consistent",,,1,1,1,1,1
"WWCR","Loxia leucoptera","White-winged Crossbill","White-winged Crossbill","Same",1842,179268,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"WWSC","Melanitta fusca","White-winged Scoter","White-winged Scoter","Same",93,175163,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"YBCH","Icteria virens","Yellow-breasted Chat","Yellow-breasted Chat","Same",1989,178964,178964,"Bird","Parulidae","Specific",1,,,,,,,1,,
"YEWA","Setophaga petechia","Yellow Warbler","Yellow Warbler","Same",2101,178878,,"Bird","Fringillidae","Specific",1,,"Code corrected from YWAR in spring 2013",,,1,1,1,1,1
"YHBL","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Yellow-headed Blackbird","Same",1990,179043,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"YRWA","Setophaga coronata","Yellow-rumped Warbler","Yellow-rumped Warbler","Same",2111,178891,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
