"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"MORA","6/2/2020","RBNU","Sitta canadensis","Red-breasted Nuthatch","Sittidae",1516,"McMahon_Quinn","Nisqually",,4279,"A","04/27/2021 15:30"
2020,"MORA","6/4/2020","RBSA","Sphyrapicus ruber","Red-breasted Sapsucker","Picidae",1006,"McMahon_Quinn","Ohanapecosh",,4260,"A","04/27/2021 15:30"
2020,"MORA","7/15/2020","RCKI","Regulus calendula","Ruby-crowned Kinglet","Regulidae",1588,"Kropp_Mikaela","Seattle Park",,4285,"A","04/27/2021 15:30"
2020,"MORA","6/6/2020","RECR","Loxia curvirostra","Red Crossbill","Fringillidae",1839,"McMahon_Quinn","Stevens Canyon",,4315,"A","04/27/2021 15:30"
2020,"MORA","7/13/2020","RUHU","Selasphorus rufus","Rufous Hummingbird","Trochilidae",371,"Kropp_Mikaela","Grand Park",,4259,"A","04/27/2021 15:30"
2020,"MORA","6/3/2020","RWBL","Agelaius phoeniceus","Red-winged Blackbird","Fringillidae",2031,"Kropp_Mikaela","Nisqually",,4311,"A","04/27/2021 15:30"
2020,"MORA","7/12/2020","SAVS","Passerculus sandwichensis","Savannah Sparrow","Fringillidae",1944,"McMahon_Quinn","Grand Park",,4305,"A","04/27/2021 15:30"
2020,"MORA","6/18/2020","SOGR","Dendragapus fuliginosus","Sooty Grouse","Phasianidae",160,"McMahon_Quinn","Stevens Canyon",,4251,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","SOSP","Melospiza melodia","Song Sparrow","Fringillidae",1949,"Kropp_Mikaela","Nisqually",,4307,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","SPSA","Actitis macularius","Spotted Sandpiper","Scolopacidae",555,"McMahon_Quinn","Nisqually",,4254,"A","04/27/2021 15:30"
2020,"MORA","6/6/2020","SPTO","Pipilo maculatus","Spotted Towhee","Fringillidae",1966,"Kropp_Mikaela","Stevens Canyon",,4303,"A","04/27/2021 15:30"
2020,"MORA","6/3/2020","STJA","Cyanocitta stelleri","Steller’s Jay","Corvidae",1444,"McMahon_Quinn","Nisqually",,4270,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","SWTH","Catharus ustulatus","Swainson’s Thrush","Muscicapidae",1660,"Kropp_Mikaela","Nisqually",,4289,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","THWH","Setophaga townsendi x occidentalis","Townsend's x Hermit Warbler hybrid","Fringillidae",2124,"McMahon_Quinn","Nisqually",,4298,"A","04/27/2021 15:30"
2020,"MORA","7/25/2020","TOSO","Myadestes townsendi","Townsend’s Solitaire","Muscicapidae",1636,"McMahon_Quinn","Sunrise",,4288,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","TOWA","Setophaga townsendi","Townsend’s Warbler","Fringillidae",2123,"McMahon_Quinn","Nisqually",,4297,"A","04/27/2021 15:30"
2020,"MORA","6/6/2020","TUVU","Cathartes aura","Turkey Vulture","Ciconiidae",809,"Kropp_Mikaela","Nickel Creek",,4252,"A","04/27/2021 15:30"
2020,"MORA","6/3/2020","VASW","Chaetura vauxi","Vaux’s Swift","Apodidae",290,"McMahon_Quinn","Nisqually",,4258,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","VATH","Ixoreus naevius","Varied Thrush","Turdidae",1687,"McMahon_Quinn","Nisqually",,4292,"A","04/27/2021 15:30"
2020,"MORA","6/3/2020","VGSW","Tachycineta thalassina","Violet-green Swallow","Hirundinidae",1480,"McMahon_Quinn","Nisqually",,4274,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","WAVI","Vireo gilvus","Warbling Vireo","Vireonidae",1421,"McMahon_Quinn","Nisqually",,4268,"A","04/27/2021 15:30"
2020,"MORA","7/13/2020","WBNU","Sitta carolinensis","White-breasted Nuthatch","Sittidae",1517,"Kropp_Mikaela","Grand Park",,4280,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","WCSP","Zonotrichia leucophrys","White-crowned Sparrow","Fringillidae",1920,"Kropp_Mikaela","Nisqually",,4308,"A","04/27/2021 15:30"
2020,"MORA","7/12/2020","WEBL","Sialia mexicana","Western Bluebird","Muscicapidae",1633,"McMahon_Quinn","Grand Park",,4286,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","WETA","Piranga ludoviciana","Western Tanager","Fringillidae",2151,"Kropp_Mikaela","Nisqually",,4302,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","WIWA","Cardellina pusilla","Wilson’s Warbler","Fringillidae",2138,"Kropp_Mikaela","Nisqually",,4301,"A","04/27/2021 15:30"
2020,"MORA","6/17/2020","YRWA","Setophaga coronata","Yellow-rumped Warbler","Fringillidae",2111,"Kropp_Mikaela","St. Andrew's Creek",,4295,"A","04/27/2021 15:30"
2020,"NOCA","6/2/2020","AMDI","Cinclus mexicanus","American Dipper","Cinclidae",1584,"Lane_Fanter","Stetattle Creek",,4368,"A","04/27/2021 15:30"
2020,"NOCA","7/13/2020","AMKE","Falco sparverius","American Kestrel","Falconidae",1053,"Lane_Fanter","Rainbow Bridge",,4241,"A","04/27/2021 15:30"
2020,"NOCA","7/27/2020","AMPI","Anthus rubescens","American Pipit","Passeridae",1757,"Lane_Fanter","Copper Lake",,4380,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","AMRE","Setophaga ruticilla","American Redstart","Fringillidae",2091,"Holmgren_Mandy","Stehekin",,4388,"A","04/27/2021 15:30"
